SourceID,filter,OID,RA,DEC,numobs,sf,FAP,period,period_w,power,power_w,mean,std,min,max,upsilon_class,upsilon_prob,upsilon_flag,upsilon_period,identifier,dist,type,Gaia_count,multiflag,GaiaDist,fluxratio,Gmag,Plx,e_Plx,Plxflag,XMM,XMM_dist,Chandra,Chandra_dist,inside_flag,ic10_flag,lc_var,var,var_flag
1,zg,806103100020028,5.0720603,59.3038784,329,0.9999878227345453,0.0006416692151478955,0.25123404740327077,1.0000143393856216,0.08873099876504428,0.006259840207567967,16.13667869567871,0.0212542787194252,16.063392639160156,16.19933319091797,NonVar,0.78,1.0,0.033324162097947314,[CHM2007] LDC   31 J002017.33+5918136,0.730211,GinGroup,1,0,0.044061,0.0,15.114388,0.3951,0.1062,1,0,,0,,True,False,N,N,False
1,zg,1809111300004956,5.072064,59.3038602,66,0.9947901423998002,0.08027810523001934,0.18180043854029107,2800.0,0.24886551433870469,0.09995292626342939,16.114269256591797,0.01769244112074375,16.056095123291016,16.151517868041992,NonVar,0.54,1.0,0.03697700363367449,[CHM2007] LDC   31 J002017.33+5918136,0.730211,GinGroup,1,0,0.044061,0.0,15.114388,0.3951,0.1062,1,0,,0,,True,False,N,N,False
3,zg,806103100029895,5.0754794,59.3021311,118,0.7937969759784527,0.011600849855393502,0.5079098005390992,1.000019931557304,0.1746796840740035,0.26448221931150495,21.077953338623047,0.2168530970811844,20.455461502075195,21.68096923828125,DSCT,0.87,1.0,0.08122926572761541,,,,1,0,0.105993,0.0,19.72043,0.4084,0.3136,1,0,,0,,True,False,N,N,False
3,zg,1809111300005009,5.0755492,59.302078,14,0.005230227707443521,5.6508602799885476e-06,0.11385187765715038,2800.0,0.9632756435098193,0.4235796045668075,21.05537986755371,0.3256825804710388,20.234277725219727,21.53025245666504,DSCT,0.62,1.0,0.0536846448091803,,,,1,0,0.105993,0.0,19.72043,0.4084,0.3136,1,0,,0,,True,False,N,N,False
6,zg,1809111300028615,5.0727384,59.3069587,26,0.7552330076006265,0.009534268564508175,0.4097377881529461,2800.0,0.599879241217029,0.07703826374201068,20.795644760131836,0.2043532431125641,20.40668487548828,21.212738037109375,DSCT,0.78,1.0,0.04552884792836488,LGGS J002017.47+591825.1,0.126465,Em*,1,0,0.108821,0.0,20.539137,1.1997,0.8904,1,0,,0,,True,False,N,N,False
6,zg,806103100019942,5.0725765,59.3069858,171,0.09551914095449333,3.505672515796039e-05,29.486822867136123,1.0000110121384305,0.18774176429101444,0.2066712203842268,20.869640350341797,0.21842004358768463,20.229215621948242,21.372922897338867,DSCT,0.84,1.0,0.07404254135075186,LGGS J002017.47+591825.1,0.126465,Em*,1,0,0.108821,0.0,20.539137,1.1997,0.8904,1,0,,0,,True,False,N,N,False
11,zg,1809111300028676,5.0788071,59.3024032,16,0.8012016805516761,0.00284932513621239,0.10550109894765718,2800.0,0.8230080936840749,0.15519810302534032,20.869380950927734,0.19153562188148499,20.45585823059082,21.19333839416504,DSCT,0.76,1.0,0.09540700944512782,LGGS J002018.90+591808.8,0.502495,Em*,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,True,True,N,N,False
11,zg,806103100029893,5.0789351,59.3022354,106,0.0004925261398405161,6.182117783251198e-05,0.49930046692700447,1.000004113884393,0.275098078777708,0.8747897860600339,20.87017059326172,0.22827428579330444,20.02822494506836,21.361862182617188,NonVar,0.52,1.0,0.03333892400341421,LGGS J002018.90+591808.8,0.502495,Em*,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0,,True,True,N,N,False
14,zg,1809111300004939,5.063628,59.3041635,66,0.979391264102179,0.01614877140703354,0.10270018736622724,2800.0,0.2892187453009228,0.01704707454454597,18.38882827758789,0.04464099556207657,18.290287017822266,18.504182815551758,DSCT,0.42,1.0,0.040494091026345054,,,,1,0,0.051898,0.0,17.613596,0.2006,0.0819,1,0,,0,,True,False,N,N,False
14,zg,806103100020021,5.0635828,59.304177,330,0.999999999994077,0.0047086159094707515,0.300723917847196,1.0000143393856216,0.07706491224986796,0.0012538256062170831,18.408784866333008,0.03957109525799751,18.30717658996582,18.572996139526367,EB_ED,0.88,1.0,0.3007283033746602,,,,1,0,0.051898,0.0,17.613596,0.2006,0.0819,1,0,,0,,True,False,N,N,False
16,zg,806103100036257,5.0770681,59.300304,142,0.9979854339313112,0.0028113929250574055,0.2109486903367134,0.9999068899874205,0.16735478816070806,0.005055098039455808,20.69869613647461,0.15728551149368286,20.131877899169922,21.063072204589844,DSCT,0.87,1.0,0.08420969443510472,LGGS J002018.54+591801.1,0.144217,Em*,1,0,0.141883,0.0,20.176025,-1.7717,0.4595,0,0,,0,,True,True,N,N,False
16,zg,1809111300050036,5.0771844,59.3003279,25,0.8550268753309119,0.01822506919207802,0.9646276444184041,2800.0,0.5860937510391301,0.19310198266226308,20.638269424438477,0.17271293699741364,20.237409591674805,20.974262237548828,LPV_SRV_AGB_O,0.41,1.0,29.527778530434855,LGGS J002018.54+591801.1,0.144217,Em*,1,0,0.141883,0.0,20.176025,-1.7717,0.4595,0,0,,0,,True,True,N,N,False
18,zg,806103100029880,5.0806434,59.3032061,164,0.9090758311330518,0.00011229526901884753,0.9646673215810087,0.9973756746669208,0.18264140076123586,0.11487498291103983,20.886587142944336,0.19304557144641876,20.210617065429688,21.414894104003906,EB_ESD,0.35,1.0,0.9646714163760103,[HL90]  59,0.571196,HII,1,0,0.446597,0.0,20.486805,0.8007,0.7763,1,0,,0,,True,False,N,N,False
18,zg,1809111300004976,5.0806827,59.3031951,20,0.7949775954967484,0.00029421997580870974,0.15957438830394036,2800.0,0.8118553077196046,0.05895856536552417,20.912982940673828,0.2065282016992569,20.518383026123047,21.29349136352539,DSCT,0.56,1.0,0.15957250006882476,[HL90]  59,0.571196,HII,1,0,0.446597,0.0,20.486805,0.8007,0.7763,1,0,,0,,True,False,N,N,False
15,zg,806103100036255,5.0668564,59.3003302,28,0.7468259825551729,0.007936575452639556,0.11386585524801675,0.4993080926058333,0.5638251835783713,0.17635647253309827,21.276466369628906,0.21113960444927216,20.755855560302734,21.65484046936035,DSCT,0.74,1.0,0.07209751431055461,[HL90]  44,1.676995,HII,1,0,0.77993,0.0,21.065866,,,0,0,,0,,True,True,N,N,False
20,zg,1809111300053258,5.0692137,59.3082575,17,2.0357542686562495e-06,0.00425461062916591,0.45742013831361766,2800.0,0.7925195186482105,0.28002461782951105,20.211742401123047,0.28627848625183105,19.569068908691406,20.56301498413086,DSCT,0.59,1.0,0.17526332505138772,,,,1,0,0.396814,0.0,20.466309,1.6057,0.7252,1,0,,0,,True,False,V,V,False
23,zg,806103100048080,5.0763001,59.299557,225,0.3025041108283858,5.549891971048766e-09,29.449981881281207,1.0000143393856216,0.21260262241281347,0.0935476810219782,20.44505500793457,0.16600669920444489,19.861698150634766,20.782928466796875,EB_ESD,0.22,1.0,29.453798700000004,[LL2015] 30,0.115275,Cl*,1,0,0.363274,0.0,20.926571,,,0,0,,0,,True,True,N,N,False
