angDist,_RAJ2000,_DEJ2000,Seq,CXOU,W05,RAJ2000,DEJ2000,Err95,NP,NB,<CRate>,RMS,Min,Max,Var,NCts,Events,EMed,EvBack,EMedB,QDx,QDy,VarCl,LC,SourceID,RA,DEC
0.504260,5.1108606849,59.248734487,7,J002026.6+591455,17C,5.1108606849,59.248734487,0.51,8,3,3.892E-4,4.33E-5,2.83E-4,4.16E-4,0.86,40.58,73,1447.0,7,4089.0,-0.7568055,1.1313059,,LC,2008,5.11090335,59.24887285
0.496944,4.9946504777,59.257606547,13,J001958.7+591527,na,4.9946504777,59.257606547,0.53,7,2,3.852E-4,2.84E-4,1.0E-4,9.61E-4,3.13,18.75,38,1694.0,1,331.0,-0.6553656,1.2779523,"TC,S?",LC,2108,4.9945033500000005,59.2577223
0.663098,5.0366281462,59.262352994,15,J002008.8+591544,na,5.0366281462,59.262352994,0.49,8,0,2.75E-4,1.28E-4,1.0E-4,,,,25,1059.0,4,4517.0,-0.9611232,1.4591757,,LC,1391,5.03655985,59.26253385
0.179004,5.144148401,59.265909237,17,J002034.6+591557,20C,5.144148401,59.265909237,0.35,8,8,0.001913,3.96E-4,0.00141,0.00247,1.97,349.68,481,1063.0,25,3173.0,-0.9587041,1.4691734,,LC,1744,5.1440973,59.26595155
0.402743,5.0382045465,59.293906772,29,J002009.2+591738,na,5.0382045465,59.293906772,0.39,10,1,3.11E-4,1.12E-4,1.0E-4,5.1E-4,3.64,22.18,46,3600.0,1,2095.0,-0.1250355,1.1781461,"TC,X",LC,364,5.0380081,59.2939563
0.621904,5.0481171416,59.304031887,32,J002011.5+591814,na,5.0481171416,59.304031887,0.48,10,0,2.7E-4,1.06E-4,1.0E-4,,,,30,954.4,6,3804.0,-1.032042,1.7947527,,LC,131,5.048201000000001,59.304199249999996
0.246335,5.1083595141,59.312527964,39,J002026.0+591845,"16C,37X",5.1083595141,59.312527964,0.46,10,6,4.467E-4,2.67E-4,2.42E-4,0.00105,2.83,78.63,133,1058.0,12,3440.0,-0.9617519,1.3819461,,LC,382,5.10831305,59.31259215
0.573247,5.0872319394,59.299727497,46,J002020.9+591759,11C,5.0872319394,59.299727497,0.31,10,2,0.001611,0.00361,1.0E-4,0.0117,18.18,370.15,376,3351.0,10,3913.0,-0.1829809,1.1720792,"T,X",LC,77,5.0869436,59.2997882
0.637628,5.1781193862,59.314391262,48,J002042.7+591851,45X,5.1781193862,59.314391262,0.7,9,3,3.525E-4,1.54E-4,1.0E-4,6.21E-4,2.35,24.74,49,936.5,18,1820.0,-1.0451858,0.961172,,LC,1843,5.1778303,59.314293250000006
0.282482,5.0951692805,59.26084493,64,J002022.8+591539,13C,5.0951692805,59.26084493,0.46,9,1,2.916E-4,1.2E-4,1.0E-4,4.24E-4,2.62,12.35,11,1301.0,0,,-0.8253365,1.5313731,,LC,1364,5.09501665,59.260853350000005
1.233370,5.1187010273,59.335758127,76,J002028.5+592008,na,5.1187010273,59.335758127,1.34,9,0,2.889E-4,1.17E-4,1.0E-4,,,,9,944.0,1,1301.0,-1.0396507,1.4941164,,LC,1139,5.118779999999999,59.335417899999996
1.558739,5.0959774981,59.298170538,78,J002023.0+591753,na,5.0959774981,59.298170538,1.43,10,1,2.526E-4,1.14E-4,1.0E-4,1.26E-4,0.26,1.78,2,1294.0,0,,-0.829185,2.4953318,,LC,158,5.0955834,59.297787150000005
0.809201,5.1542804948,59.3133818907,86,J002037.0+591848,na,5.1542804948,59.3133818907,0.86,10,0,3.2E-4,1.93E-4,1.0E-4,,,,5,1317.0,0,,-0.8174685,1.2367798,,LC,1299,5.1539303499999995,59.31351825
1.655910,4.9988064314,59.300869868,92,J001959.7+591803,na,4.9988064314,59.300869868,1.57,9,0,2.778E-4,1.2E-4,1.0E-4,,,,4,5858.0,0,,0.4141931,1.1427413,,LC,1043,4.9986645,59.3013241
0.343758,5.1194160705,59.349330499,101,J002028.7+592057,na,5.1194160705,59.349330499,0.69,9,1,3.277E-4,1.68E-4,1.0E-4,6.49E-4,2.51,9.4,7,1538.0,0,,-0.7175543,0.5633072,,LC,1686,5.119487599999999,59.34941875
