oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag,dist,angle,GroupID,GroupSize
806103100020028,5.0720603,59.3038784,806,3,1,zg,338,329,443,432,16.149,0.013,2.423146E-7,1.03005,0.02127849,16.19933,0.01246643,16.13891,0.01794352,16.06339,0.055239,220.923455,1,5
806203100023452,5.0720632,59.3038752,806,3,1,zr,860,851,1217,1206,15.056,0.013,2.511208E-7,0.952572,0.01453264,15.13051,0.008165359,15.04828,0.01270871,14.99232,0.061548,210.090972,1,5
1809111300004956,5.072064,59.3038602,1809,11,3,zg,66,66,70,70,16.118,0.02,3.222633E-7,0.7496574,0.01782802,16.15152,0.008206367,16.11597,0.01622976,16.0561,0.111245,195.327549,1,5
1809211300007650,5.0720654,59.3038596,1809,11,3,zr,77,77,86,86,15.042,0.017,1.289176E-7,0.9662557,0.01164388,15.08817,0.006966591,15.0443,0.01068937,15.01961,0.112679,193.775335,1,5
806303100044380,5.0720624,59.3038536,806,3,1,zi,41,37,46,41,14.602,0.024,1.156707E-7,1.492933,0.01368847,14.6358,0.01069736,14.60089,0.01062332,14.58128,0.134958,193.865063,1,5
1809111300051780,5.0690972,59.3040489,1809,11,3,zg,4,4,4,4,21.724,0.109,1.05828E-6,1.806444,0.3420204,21.76139,0.254282,21.33669,0.2086965,21.01259,5.511378,275.958887,2,4
1809211300070217,5.0690426,59.3040475,1809,11,3,zr,56,56,57,57,20.197,0.063,7.702472E-7,1.474085,0.155044,20.71575,0.1232367,20.24162,0.1239485,19.95233,5.610675,275.801367,2,4
806303100091346,5.069045,59.3040666,806,3,1,zi,41,37,45,40,19.444,0.058,5.524462E-7,1.440253,0.1768385,20.00875,0.06500816,19.49631,0.06691955,19.14538,5.613656,276.504141,2,4
806203100065936,5.0690334,59.3040661,806,3,1,zr,508,501,518,510,20.211,0.087,8.066328E-7,1.158412,0.156258,20.81109,0.1001673,20.24959,0.1281997,19.60583,5.634635,276.46141,2,4
806103100029895,5.0754794,59.3021311,806,3,1,zg,123,118,141,135,21.218,0.054,2.056366E-6,0.941268,0.2148765,21.68097,0.1064148,21.0823,0.1676149,20.45546,8.895201,135.384091,3,5
1809111300005009,5.0755492,59.302078,1809,11,3,zg,14,14,14,14,21.082,0.062,1.741088E-6,1.361544,0.3379768,21.53025,0.1767006,21.10817,0.1924112,20.23428,9.121477,135.653786,3,5
806203100057022,5.0755433,59.3020667,806,3,1,zr,725,716,774,763,19.714,0.039,9.208696E-7,1.205477,0.1226532,20.17349,0.07227516,19.71002,0.08889023,18.94202,9.143062,135.880563,3,5
806203100065940,5.0739557,59.3015362,806,3,1,zr,39,37,39,37,21.931,0.286,1.866517E-6,1.148773,0.31723,21.93988,0.1625977,21.32829,0.2098477,20.4151,9.148021,157.862219,4,3
1809211300054451,5.075586,59.3020625,1809,11,3,zr,74,74,78,78,19.656,0.038,7.897667E-7,1.324148,0.1130031,19.95302,0.07422256,19.68546,0.08310427,19.43789,9.20866,135.595506,3,5
806303100073730,5.075589,59.3020586,806,3,1,zi,39,35,44,39,19.15,0.046,4.690989E-7,1.52487,0.08094188,19.38096,0.05307961,19.13631,0.0516082,19.02369,9.22255,135.632063,3,5
806303100093095,5.0740366,59.3015158,806,3,1,zi,10,10,13,13,20.996,0.171,2.870333E-6,1.181104,0.368483,21.02669,0.1138449,20.66977,0.1429056,19.89275,9.272726,157.182198,4,3
806303100088519,5.0718585,59.306474,806,3,1,zi,9,7,10,7,20.929,0.178,1.407885E-6,3.086361,0.3547573,21.4488,0.3356552,20.86752,0.1612392,20.35839,9.311301,357.494603,,
1809211300070232,5.0740389,59.3015026,1809,11,3,zr,2,2,2,2,21.841,0.204,1.621026E-6,0.0,0.3388499,21.30304,0.0,21.06343,0.1902564,20.82383,9.318178,157.271544,4,3
806303100062133,5.0699527,59.3064321,806,3,1,zi,0,0,0,0,22.109,0.278,0.0,,0.0,0.0,0.0,0.0,,0.0,9.951561,336.870112,,
1809211300066716,5.0707967,59.3010875,1809,11,3,zr,0,0,0,0,21.908,0.231,0.0,,0.0,0.0,0.0,0.0,,0.0,10.361,193.158132,5,3
806203100060430,5.070934,59.3008965,806,3,1,zr,31,28,31,28,21.484,0.178,2.402939E-6,1.939146,0.3330064,21.90713,0.2735023,21.31817,0.2091099,20.67417,10.980481,191.058827,5,3
1809211300054379,5.0726338,59.3069596,1809,11,3,zr,52,52,55,55,20.268,0.059,1.209072E-6,1.031548,0.1618822,20.66025,0.08921909,20.30129,0.1282308,19.99271,11.097323,5.261551,6,4
1809111300028615,5.0727384,59.3069587,1809,11,3,zg,26,26,28,28,20.879,0.065,1.839367E-6,1.419636,0.2084002,21.21274,0.1656904,20.83632,0.1730392,20.40668,11.113378,6.249912,6,4
806103100019942,5.0725765,59.3069858,806,3,1,zg,178,171,214,206,20.897,0.068,1.604934E-6,1.319247,0.2190215,21.37292,0.1376181,20.86559,0.1546584,20.22922,11.182165,4.679986,6,4
806303100091359,5.0711414,59.3008146,806,3,1,zi,0,0,0,0,21.505,0.186,5.595985E-318,,0.0,0.0,0.0,0.0,,0.0,11.205015,188.856167,5,3
