\fixlen = T
\RowsRetrieved = 9667
\ORIGIN = IPAC Infrared Science Archive (IRSA), Caltech/JPL
\SIMULATED_TABLE = n
\DATETIME = 2022-06-21 03:09:16
\DataTag = ADS/IRSA.Gator#2022/0621/030916_11866
\DATABASE = ZTF DR11 Objects (ztf_objects_dr11)
\EQUINOX = J2000
\SKYAREA = within 225 arcsec of  ra=5.07208 dec=+59.30389 Eq J2000 
\StatusFile = /workspace/TMP_wibCZC_6485/Gator/irsa/11866/log.11866.html
\SQL = 'WHERE (no constraints)
\SQL = SELECT (23 column names follow in next row.)
\ 
\ 
\ oid
\ ___ Unique object identifier
\ ra (deg)
\ ___ Object Right Ascension
\ dec (deg)
\ ___ Object Declination
\ field
\ ___ Field identifier
\ ccdid
\ ___ CCD identifier (1-16)
\ qid
\ ___ Quadrant (1-4)
\ filtercode
\ ___ Filter code (zg, zr, zi)
\ ngoodobs
\ ___ Number of epochal detections that were not flagged or masked due to bad pixels
\ ngoodobsrel
\ ___ Number of epochal detections in this release not associated with bad pixels
\ nobs
\ ___ Total number of epochal detections (observation epochs) in the lightcurve
\ nobsrel
\ ___ Total number of epochal detections that are in this release
\ refmag (mag)
\ ___ Object magnitude from reference image if detected (not transient)
\ refmagerr (mag)
\ ___ Error in refMag
\ astrometricrms (deg)
\ ___ Root Mean Squared deviation in epochal positions relative to object RA,Dec
\ chisq
\ ___ Chi-square metric using nobs detections
\ magrms (mag)
\ ___ Root Mean Squared deviation over nobs magnitudes
\ maxmag (mag)
\ ___ Maximum magnitude over nobs detections
\ medianabsdev (mag)
\ ___ Median absolute deviation in magnitudes over nobs detections
\ medianmag (mag)
\ ___ Median magnitude over nobs detections
\ medmagerr (mag)
\ ___ Median of magerr values over nobs detections
\ minmag (mag)
\ ___ Minimum magnitude over nobs detections
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|oid             |ra       |dec       |field|ccdid|qid |filtercode|ngoodobs|ngoodobsrel|nobs|nobsrel|refmag      |refmagerr   |astrometricrms|chisq       |magrms      |maxmag      |medianabsdev|medianmag   |medmagerr   |minmag      |dist      |angle     |
|long            |double   |double    |int  |int  |int |char      |int     |int        |int |int    |double      |double      |double        |double      |double      |double      |double      |double      |double      |double      |double    |double    |
|                |deg      |deg       |     |     |    |          |        |           |    |       |mag         |mag         |deg           |            |mag         |mag         |mag         |mag         |mag         |mag         |arcsec    |deg       |
|null            |null     |null      |null |null |null|null      |null    |null       |null|null   |null        |null        |null          |null        |null        |null        |null        |null        |null        |null        |null      |null      |
  806103100020028 5.0720603 59.3038784   806     3    1 zg              338         329  443     432 1.614900E+01 1.300000E-02   2.423146E-07 1.030050E+00 2.127849E-02 1.619933E+01 1.246643E-02 1.613891E+01 1.794352E-02 1.606339E+01   0.055239 220.923455 
  806203100023452 5.0720632 59.3038752   806     3    1 zr              860         851 1217    1206 1.505600E+01 1.300000E-02   2.511208E-07 9.525720E-01 1.453264E-02 1.513051E+01 8.165359E-03 1.504828E+01 1.270871E-02 1.499232E+01   0.061548 210.090972 
 1809111300004956 5.0720640 59.3038602  1809    11    3 zg               66          66   70      70 1.611800E+01 2.000000E-02   3.222633E-07 7.496574E-01 1.782802E-02 1.615152E+01 8.206367E-03 1.611597E+01 1.622976E-02 1.605610E+01   0.111245 195.327549 
 1809211300007650 5.0720654 59.3038596  1809    11    3 zr               77          77   86      86 1.504200E+01 1.700000E-02   1.289176E-07 9.662557E-01 1.164388E-02 1.508817E+01 6.966591E-03 1.504430E+01 1.068937E-02 1.501961E+01   0.112679 193.775335 
  806303100044380 5.0720624 59.3038536   806     3    1 zi               41          37   46      41 1.460200E+01 2.400000E-02   1.156707E-07 1.492933E+00 1.368847E-02 1.463580E+01 1.069736E-02 1.460089E+01 1.062332E-02 1.458128E+01   0.134958 193.865063 
 1809111300051780 5.0690972 59.3040489  1809    11    3 zg                4           4    4       4 2.172400E+01 1.090000E-01   1.058280E-06 1.806444E+00 3.420204E-01 2.176139E+01 2.542820E-01 2.133669E+01 2.086965E-01 2.101259E+01   5.511378 275.958887 
 1809211300070217 5.0690426 59.3040475  1809    11    3 zr               56          56   57      57 2.019700E+01 6.300000E-02   7.702472E-07 1.474085E+00 1.550440E-01 2.071575E+01 1.232367E-01 2.024162E+01 1.239485E-01 1.995233E+01   5.610675 275.801367 
  806303100091346 5.0690450 59.3040666   806     3    1 zi               41          37   45      40 1.944400E+01 5.800000E-02   5.524462E-07 1.440253E+00 1.768385E-01 2.000875E+01 6.500816E-02 1.949631E+01 6.691955E-02 1.914538E+01   5.613656 276.504141 
  806203100065936 5.0690334 59.3040661   806     3    1 zr              508         501  518     510 2.021100E+01 8.700000E-02   8.066328E-07 1.158412E+00 1.562580E-01 2.081109E+01 1.001673E-01 2.024959E+01 1.281997E-01 1.960583E+01   5.634635 276.461410 
  806103100029895 5.0754794 59.3021311   806     3    1 zg              123         118  141     135 2.121800E+01 5.400000E-02   2.056366E-06 9.412680E-01 2.148765E-01 2.168097E+01 1.064148E-01 2.108230E+01 1.676149E-01 2.045546E+01   8.895201 135.384091 
 1809111300005009 5.0755492 59.3020780  1809    11    3 zg               14          14   14      14 2.108200E+01 6.200000E-02   1.741088E-06 1.361544E+00 3.379768E-01 2.153025E+01 1.767006E-01 2.110817E+01 1.924112E-01 2.023428E+01   9.121477 135.653786 
  806203100057022 5.0755433 59.3020667   806     3    1 zr              725         716  774     763 1.971400E+01 3.900000E-02   9.208696E-07 1.205477E+00 1.226532E-01 2.017349E+01 7.227516E-02 1.971002E+01 8.889023E-02 1.894202E+01   9.143062 135.880563 
  806203100065940 5.0739557 59.3015362   806     3    1 zr               39          37   39      37 2.193100E+01 2.860000E-01   1.866517E-06 1.148773E+00 3.172300E-01 2.193988E+01 1.625977E-01 2.132829E+01 2.098477E-01 2.041510E+01   9.148021 157.862219 
 1809211300054451 5.0755860 59.3020625  1809    11    3 zr               74          74   78      78 1.965600E+01 3.800000E-02   7.897667E-07 1.324148E+00 1.130031E-01 1.995302E+01 7.422256E-02 1.968546E+01 8.310427E-02 1.943789E+01   9.208660 135.595506 
  806303100073730 5.0755890 59.3020586   806     3    1 zi               39          35   44      39 1.915000E+01 4.600000E-02   4.690989E-07 1.524870E+00 8.094188E-02 1.938096E+01 5.307961E-02 1.913631E+01 5.160820E-02 1.902369E+01   9.222550 135.632063 
  806303100093095 5.0740366 59.3015158   806     3    1 zi               10          10   13      13 2.099600E+01 1.710000E-01   2.870333E-06 1.181104E+00 3.684830E-01 2.102669E+01 1.138449E-01 2.066977E+01 1.429056E-01 1.989275E+01   9.272726 157.182198 
  806303100088519 5.0718585 59.3064740   806     3    1 zi                9           7   10       7 2.092900E+01 1.780000E-01   1.407885E-06 3.086361E+00 3.547573E-01 2.144880E+01 3.356552E-01 2.086752E+01 1.612392E-01 2.035839E+01   9.311301 357.494603 
 1809211300070232 5.0740389 59.3015026  1809    11    3 zr                2           2    2       2 2.184100E+01 2.040000E-01   1.621026E-06 0.000000E+00 3.388499E-01 2.130304E+01 0.000000E+00 2.106343E+01 1.902564E-01 2.082383E+01   9.318178 157.271544 
  806303100062133 5.0699527 59.3064321   806     3    1 zi                0           0    0       0 2.210900E+01 2.780000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00   9.951561 336.870112 
 1809211300066716 5.0707967 59.3010875  1809    11    3 zr                0           0    0       0 2.190800E+01 2.310000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00  10.361000 193.158132 
  806203100060430 5.0709340 59.3008965   806     3    1 zr               31          28   31      28 2.148400E+01 1.780000E-01   2.402939E-06 1.939146E+00 3.330064E-01 2.190713E+01 2.735023E-01 2.131817E+01 2.091099E-01 2.067417E+01  10.980481 191.058827 
 1809211300054379 5.0726338 59.3069596  1809    11    3 zr               52          52   55      55 2.026800E+01 5.900000E-02   1.209072E-06 1.031548E+00 1.618822E-01 2.066025E+01 8.921909E-02 2.030129E+01 1.282308E-01 1.999271E+01  11.097323   5.261551 
