angDist,SourceID,RA,DEC,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z
0.734832,1,5.072064299999999,59.3038674,[CHM2007] LDC   31 J002017.33+5918136,5.0716666667,+59.3038888889,,,172,1,00 20 17.2    ,+59 18 14     ,D,2007ApJ...655..790C,GinGroup,GiG,-348.000,,-0.0011601,,,,,,,,,,,,,,,,,,,5.610,,,,,
1.241266,5,5.070934,59.3008965,[HL90]  46a,5.0708333333,+59.3005555556,,,172,1,00 20 17.0    ,+59 18 02     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.155130,6,5.0726338,59.3069596,LGGS J002017.47+591825.1,5.0727178150,+59.3069553787,0.001,0.001,90,1,00 20 17.45228,+59 18 25.0394,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,1.1997,0.8904,-0.853,0.747,0.943,0.847,90,,,,21.240,20.650,,,,,,,,,
0.172675,7,5.0765935,59.306523,[TG2009] 31,5.0765000000,+59.3065277778,,,172,2,00 20 18.36   ,+59 18 23.5   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.023000,0.023000,90,21.911,20.676,19.759,,,,,,,,
1.354592,9,5.069341,59.3006592,[DBL2004] 302,5.0697500000,+59.3009722222,,,172,1,00 20 16.74   ,+59 18 03.5   ,D,2004A&A...424..125D,C*,C*,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.628504,11,5.078856549999999,59.30227855,LGGS J002018.90+591808.8,5.0787500000,+59.3024444444,0.100,0.100,90,1,00 20 18.90   ,+59 18 08.8   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,22.080,21.460,,,,,,,,,
1.016264,11,5.078856549999999,59.30227855,[TG2009] 33,5.0787500000,+59.3025555556,,,172,2,00 20 18.90   ,+59 18 09.2   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.017000,0.017000,90,20.870,19.976,19.365,,,,,,,,
1.608334,15,5.067023450000001,59.300374700000006,[HL90]  44,5.0675000000,+59.3000000000,,,172,1,00 20 16.2    ,+59 18 00     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.143223,16,5.0771862500000005,59.300328300000004,LGGS J002018.54+591801.1,5.0771834756,+59.3002885410,0.000,0.000,90,1,00 20 18.52403,+59 18 01.0387,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,,,0.159,0.395,0.400,0.441,90,,,,21.170,20.490,,,,,,,,,
0.486998,18,5.0806755500000005,59.30322465,[HL90]  59,5.0808333333,+59.3033333333,,,172,1,00 20 19.4    ,+59 18 12     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
