angDist,SourceID,RA,DEC,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff,B_Teff,logg,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000
0.044061,1,5.072062150000001,59.3038693,Gaia DR3 428243153210712960,5.07206274711,59.30385706459,0.000,0.000,144,1636148068921376768,428243153210712960,463116980,0.0713,0.0766,0.3951,0.1062,3.7197,3.154,0.257,0.095,-3.143,0.101,-0.2289,0.0366,-0.0936,-0.1126,0.0736,-0.1568,0.1356,-0.2135,0.2230,-0.3548,473,0,472,1,82.0429,1.0348e+04,1.050,3.0882e+02,31,0,1.415,,,,,,,,54,26,0.159903,63,2.469e-02,7.798e+01,0,0,4.658,0,498,16950.84994,1.15103e+01,1.47266e+03,15.114388,0.002852,59,6.50570e+03,8.19462e+00,7.93899e+02,15.805306,0.003107,61,1.54032e+04,1.12196e+01,1.37288e+03,14.278870,0.003861,1.292,0,1,0,1,0,1.526437,0.690918,0.835519,-39.85,4.60,2,21,1,16,5.3938e+00,,,991.553,,4500.0,2.5,-1.50,111,,,,13.684898,0.065295,20,,NOT_AVAILABLE,0.000000,0.000000,0.999995,5187.1,5133.5,5274.9,3.6363,3.5595,3.7464,-0.1375,-0.2020,-0.0519,1590.6733,1430.7502,1724.5024,1.3461,1.3058,1.4079,1.0461,1.0136,1.0966,0.5627,0.5454,0.5893,MARCS,5.07206050722,59.30387103429,1.521359,1.605447,-0.3425
0.105993,3,5.0755143,59.302104549999996,Gaia DR3 428243153200955776,5.07554961616,59.30208127343,0.000,0.000,142,1636148068921376768,428243153200955776,1596924812,0.2179,0.2304,0.4084,0.3136,1.3024,2.792,-1.562,0.289,-2.315,0.314,-0.2357,0.1708,-0.0500,-0.0955,0.0801,-0.1826,0.1906,-0.2048,0.2023,-0.4415,458,0,456,2,0.0408,4.7864e+02,0.000,0.0000e+00,95,0,,1.3058,0.0644,-0.068,0.033,-0.008,-0.077,0.008,53,26,0.508324,59,2.513e-03,8.381e+01,0,0,1.001,0,465,243.65449,7.67749e-01,3.17362e+02,19.720430,0.004393,49,7.13818e+01,4.65169e+00,1.53454e+01,20.704573,0.070808,48,2.28384e+02,5.39647e+00,4.23211e+01,18.851229,0.025932,1.230,0,1,0,1,0,1.853344,0.984142,0.869202,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999997,,,,,,,,,,,,,,,,,,,,,,,5.07556321337,59.30209156081,4.643340,4.981256,-0.4309
0.108821,6,5.07265745,59.30697225,Gaia DR3 428243153205404160,5.07271038663,59.30695869997,0.001,0.001,113,1636148068921376768,428243153205404160,1352051706,0.7187,0.5681,1.1997,0.8904,1.3474,1.134,-0.853,0.943,0.747,0.847,-0.2524,0.1448,-0.4164,0.1401,0.0248,-0.0081,0.0600,-0.0839,0.1906,-0.4837,287,0,286,1,30.3129,1.8608e+03,3.190,1.6233e+01,95,0,,1.7048,0.1987,0.157,0.074,-0.088,-0.265,0.028,34,21,1.542777,39,2.719e-02,5.548e+01,0,0,2.523,0,301,114.62841,8.70345e-01,1.31705e+02,20.539137,0.008692,28,5.47531e+01,5.38583e+00,1.01662e+01,20.992519,0.106836,34,9.68391e+01,6.75005e+00,1.43464e+01,19.782768,0.075774,1.322,0,0,0,0,0,1.209751,0.453382,0.756369,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000020,0.000006,0.999961,,,,,,,,,,,,,,,,,,,,,,,5.07271781501,59.30695537866,15.401695,13.536235,-0.4814
0.051898,14,5.0636054,59.30417025,Gaia DR3 428243050131495808,5.06361710361,59.30415713031,0.000,0.000,137,1636148068921376768,428243050131495808,328077055,0.0577,0.0586,0.2006,0.0819,2.4495,2.125,-1.901,0.076,-0.949,0.079,-0.2123,0.0650,-0.2098,-0.0875,0.0356,-0.1616,0.1141,-0.1304,0.1987,-0.3892,470,0,468,2,-0.6265,4.5880e+02,0.000,0.0000e+00,95,0,,1.4697,0.0162,-0.045,0.049,-0.022,-0.070,-0.021,54,26,0.127085,61,2.047e-02,6.309e+01,0,0,0.979,0,488,1696.32124,1.37062e+00,1.23763e+03,17.613596,0.002892,56,6.95899e+02,6.02608e+00,1.15481e+02,18.232176,0.009807,54,1.38908e+03,1.23098e+01,1.12844e+02,16.891075,0.010337,1.229,0,4,0,4,0,1.341101,0.618580,0.722521,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999997,,,,,,,,,,,,,,,,,,,,,,,5.06363365388,59.30416134797,1.226107,1.253984,-0.3754
0.779930,15,5.0668564,59.3003302,Gaia DR3 428243050127024512,5.06666666642,59.30052398589,0.026,0.005,84,1636148068921376768,428243050127024512,328135090,25.5468,5.2006,,,,,,,,,0.4829,,,,,,,,,,44,0,43,1,2.2923,6.0776e+01,8.050,4.0061e+00,3,0,,,,,,,,,5,4,2448.000488,7,4.259e-02,4.556e+00,0,0,,0,60,70.56680,1.65518e+00,4.26338e+01,21.065866,0.025615,4,3.33958e+01,2.38356e+00,1.40109e+01,21.529310,0.077542,5,8.73017e+01,1.41596e+01,6.16556e+00,19.895338,0.176138,1.710,0,0,0,0,0,1.633972,0.463444,1.170528,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000148,0.000029,0.998773,,,,,,,,,,,,,,,,,,,,,,,5.06666666642,59.30052398589,25.546824,5.200628,0.4829
0.141883,16,5.07712625,59.30031595,Gaia DR3 428243050123772288,5.07718485664,59.30029029769,0.000,0.000,138,1636148068921376768,428243050123772288,618993678,0.3207,0.3277,-1.7717,0.4595,-3.8560,0.426,0.159,0.400,0.395,0.441,-0.2141,0.2129,-0.1418,-0.0501,0.0892,-0.1582,0.1625,-0.1538,0.1975,-0.4451,421,0,420,1,-0.4815,4.1941e+02,0.000,0.0000e+00,95,0,,1.6170,0.0954,-0.034,0.060,0.005,-0.039,-0.012,49,26,0.709249,57,1.137e-02,1.677e+02,0,0,0.983,0,438,160.15361,6.79116e-01,2.35826e+02,20.176025,0.005365,46,7.69187e+01,4.60882e+00,1.66895e+01,20.623463,0.065115,47,1.01347e+02,6.18192e+00,1.63941e+01,19.733372,0.066335,1.113,0,0,0,0,0,0.890091,0.447437,0.442654,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000001,0.000000,0.999978,,,,,,,,,,,,,,,,,,,,,,,5.07718347556,59.30028854101,6.459631,7.007182,-0.4350
0.446597,18,5.08066305,59.3032006,Gaia DR3 428243153205408640,5.08089466811,59.30316306492,0.001,0.000,134,1636148068921376768,428243153205408640,530613944,0.5506,0.5424,0.8007,0.7763,1.0314,0.677,0.383,0.812,0.558,0.772,-0.3882,-0.1088,0.1203,-0.3051,0.1980,-0.4175,0.4269,-0.4014,0.4199,-0.6507,262,0,259,3,-2.1285,2.3648e+02,0.000,0.0000e+00,95,0,,1.0583,0.1608,0.041,0.133,-0.053,-0.216,0.078,30,20,1.463202,37,9.489e-02,9.424e+01,0,0,0.906,0,275,120.28867,8.01531e-01,1.50074e+02,20.486805,0.007742,30,6.79941e+01,9.98997e+00,6.80624e+00,20.757364,0.159545,32,1.02458e+02,6.93526e+00,1.47735e+01,19.721527,0.073589,1.417,1,14,0,13,0,1.035837,0.270559,0.765278,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000001,0.000000,0.999996,,,,,,,,,,,,,,,,,,,,,,,5.08089133780,59.30316058428,12.934191,12.130020,-0.6341
0.396814,20,5.0692137,59.3082575,Gaia DR3 428243153205401216,5.06900801657,59.30829108564,0.001,0.000,133,1636148068921376768,428243153205401216,1376972799,0.4765,0.4721,1.6057,0.7252,2.2140,1.142,0.824,0.676,0.791,0.634,-0.1314,0.0894,0.0182,-0.0585,0.0944,-0.1595,0.2473,-0.1456,0.3385,-0.3492,293,0,291,2,2.3191,3.6668e+02,0.673,2.0712e-01,95,0,,1.3780,0.1514,0.045,0.086,-0.075,-0.139,-0.019,34,22,1.074447,40,1.035e-02,6.440e+01,0,0,1.097,0,313,122.58094,9.27605e-01,1.32148e+02,20.466309,0.008666,27,9.66336e+01,7.29646e+00,1.32439e+01,20.375721,0.082028,27,1.31017e+02,8.66499e+00,1.51203e+01,19.454578,0.071906,1.857,0,2,0,3,0,0.921143,-0.090588,1.011730,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000095,0.000000,0.999901,,,,,,,,,,,,,,,,,,,,,,,5.06900083959,59.30828757114,10.823117,10.039289,-0.3430
0.363274,23,5.07633175,59.2995345,Gaia DR3 428243050126193280,5.07613919774,59.29951173292,0.002,0.002,80,1636148068921376768,428243050126193280,997090005,1.9234,1.6975,,,,,,,,,0.0446,,,,,,,,,,147,0,140,7,8.6645,3.3207e+02,11.015,1.2411e+01,3,0,,,,,,,,,18,13,5.637270,23,2.251e-01,1.327e+02,5,0,,0,157,80.22664,1.79282e+00,4.47489e+01,20.926571,0.024419,13,1.08833e+02,7.41227e+00,1.46828e+01,20.246645,0.073999,14,3.03235e+02,1.27359e+01,2.38094e+01,18.543449,0.045757,5.136,0,13,0,14,0,1.703196,-0.679926,2.383121,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000071,0.000483,0.997300,,,,,,,,,,,,,,,,,,,,,,,5.07613919774,59.29951173292,1.923370,1.697549,0.0446
0.439683,25,5.0694254999999995,59.3087963,Gaia DR3 428243153205401344,5.06936369077,59.30891428938,0.001,0.001,146,1636148068921376768,428243153205401344,1242363399,0.6624,0.7526,0.0880,0.9781,0.0900,2.417,1.246,0.850,-2.071,0.933,-0.3062,0.2523,-0.0526,-0.0755,-0.0699,-0.1778,0.1883,-0.0090,0.1480,-0.4422,284,0,282,2,4.5104,4.1851e+02,4.005,4.6584e+00,95,0,,2.5159,0.2046,-0.066,0.108,-0.140,-0.133,-0.004,33,22,1.498882,38,1.356e-01,6.410e+01,0,0,1.197,0,308,105.12910,9.95529e-01,1.05601e+02,20.633060,0.010644,20,1.14845e+02,1.02525e+01,1.12017e+01,20.188263,0.096966,23,1.59350e+02,9.55070e+00,1.66847e+01,19.242012,0.065184,2.608,0,0,0,2,0,0.946251,-0.444798,1.391048,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000638,0.000003,0.999354,,,,,,,,,,,,,,,,,,,,,,,5.06935283797,59.30892349206,13.656185,14.799342,-0.4323
